accession	group	profile	fragpipe_ver	msfragger_ver	fp_workflow_sha256	fp_conforms	sage_ver	sage_config_sha256	sage_conforms	git_commit	working_tree_dirty	run_config_sha256	config_matches_current	job_id	started_utc
PXD042416	Kmod_Trimethyl	multi_ptm	24.0	4.4	540155174443cce8	False		d8d11668f8f81778	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Ubiquitin_GG	multi_ptm	24.0	4.4	be7743c82c05e021	False		998f057ac29297b2	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_unmod	multi_ptm	24.0	4.4	5d109a771be81ba8	False		111456ac306c485d	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Pmod_Hydroxyproline	multi_ptm						ef8142b051e6145c	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	human_trypsin	multi_ptm						3d53e9bdd33ec68a	True	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD043456	(single)	(none)	24.0	4.4	7006a33405c86738	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263784	2026-05-22T20:28:31Z
PXD044326	(single)	(none)	24.0	4.4	8b23614c557bbecd	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263788	2026-05-22T20:48:34Z
PXD044455	(single)	(none)	24.0	4.4	37715963b5374c51	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263799	2026-05-22T21:43:14Z
PXD046370	human_trypsin	hla	24.0	4.4	f925442391696f92	True	sage 0.15.0-beta.2	d9f1a06c81aff6e7	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271276	2026-05-28T07:06:00Z
PXD046535	human_trypsin	hla	24.0	4.4	18a519239628e3aa	True	sage 0.15.0-beta.2	d9f1a06c81aff6e7	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271274	2026-05-28T20:18:19Z
PXD046631	mouse_trypsin	acyl_lactyl	24.0	4.4	d0d48698ee04c7a3	False	sage 0.15.0-beta.2	31da1b051e038c19	True	cfa0d6df250f	True	6eda36046538b1d6	True	569994	2026-08-24T08:15:59Z
PXD046755	human_trypsin	phospho	24.0	4.4	6d35681b69b39c29	False	sage 0.15.0-beta.2	c8f7db9695791d09	True	cfa0d6df250f	True	2671f39d7edb3cdc	False	270809	2026-05-27T17:51:10Z
